Student ID,Gender,Religion,Branch,Div-1,Div-2,Div-3,Roll-1,Roll-2,Roll-3,Mentor-1,Mentor-2,Mentor-3,Math-1 Theory,Physics Theory,Physics Practical,Java-1 Theory,Java-1 Practical,Software Engineering Theory,Software Engineering Practical,Environmental Science Theory,IOT Workshop Practical,Computer Workshop Practical,Math-2 Theory,Data Structures using Java Theory,Data Structures using Java Practical,DBMS Theory,DBMS Practical,Fundamental of Electronics and Electrical Theory,Fundamental of Electronics and Electrical Practical,Java-2 Theory,Java-2 Practical,Math-1 Attendance,Physics Attendance,Java-1 Attendance,Software Engineering Attendance,Environmental Science Attendance,IOT Workshop Attendance,Math-2 Attendance,Data Structures using Java Attendance,DBMS Attendance,Fundamental of Electronics and Electrical Attendance,Java-2 Attendance,Math-3 Theory,DE Theory,DE Practical,FSD Theory,FSD Practical,Python Theory,Python Practical,Communication Theory,Law Theory
1,M,Hindu,CE,D12,D5,A4,362,128,110,JAZ,PVS,UMM,71,63,85,48,71,76,76,89,71,62,52,58,84,68,78,68,76,67,86,92,84,95,86,71,100,92.06,95.08,87.5,92.59,91.53,68,70,73,78,81,66,86,91,57
2,M,Hindu,CE,D2,D3,A3,38,78,101,HRS,ZPB,SAS,83,62,83,49,87,80,69,85,81,98,64,63,58,51,71,69,83,54,62.5,87,87,86,86,85,100,84.06,83.93,75.38,91.84,86.89,77,81,91,75,80,63,68,73,54
3,M,Hindu,CE,D7,D4,A5,183,120,162,NRS,IAM,KMS,65,65,62,53,78,77,71,66,68,79,53,46,78,52,67,71,84,57,90,99,98,96,92,93,100,94.03,100,96.72,100,96.49,67,70,97,76,80,77,91,63,40
4,M,Muslim,CE,D4,D6,A4,120,176,122,ARP,PAT,UMM,74,62,53,48,70,61,57,68,66,66,58,68,35,68,35,65,77,47,35,94,97,98,95,93,100,93.22,93.1,94.03,86.54,92.42,70,68,79,70,57,75,82,64,49
5,M,Hindu,CE,D5,D7,A3,138,188,87,CVM,NPB,UMS,59,63,84,55,71,65,68,79,67,89,53,66,85,72,80,78,81,68,84,81,82,88,74,79,100,74.14,84.06,75.41,77.78,82.76,76,77,80,92,85,83,86,76,64
6,M,Hindu,CE,D4,D7,A3,97,186,92,MMS,JJS,DKU,64,61,64,49,64,69,56,61,55,78,67,70,92,69,75,81,84,52,83,92,91,92,86,86,100,93.1,92.75,95.08,96.3,98.28,77,84,95,73,72,67,70,66,71
7,M,Hindu,CE,D7,D6,A3,200,171,81,NRS,BPD,SAS,53,75,60,49,59,70,63,75,82,72,52,70,65,73,70,79,75,72,68,98,91,98,92,93,100,93.22,96.55,89.55,92.31,100,73,80,70,87,81,83,67,66,53
8,M,Hindu,CE,D1,D1,A2,30,23,69,NRS,PJD,ZVB,84,83,79,60,83,82,78,62,80,81,61,59,88,69,80,70,93,69,96,80,85,81,84,77,100,79.69,72.13,87.1,85.42,77.27,70,74,72,61,71,77,91,78,41
9,F,Muslim,CE,D7,D1,A1,209,13,13,JAZ,ZPB,UMS,79,87,87,69,74,86,70,91,89,84,79,76,87,88,82,96,88,75,86,100,100,100,100,100,100,100,100,100,100,100,93,92,85,92,82,85,104,92,83
10,F,Hindu,CE,D9,D3,A2,242,77,70,HRS,VHP,PHA,71,71,65,48,78,85,76,71,68,85,67,72,93,65,88,74,73,58,90,97,98,98,95,100,100,92.75,94.64,89.23,95.92,95.08,94,83,92,74,76,69,95,94,75
11,M,Hindu,CE,D12,D10,A5,350,288,176,MDP,BPD,SAS,47,48,75,50,76,59,86,59,83,79,37,56,76,54,80,50,67,66,76,95,98,97,100,100,100,100,100,100,100,100,57,59,67,84,84,84,88,77,35
12,M,Hindu,CE,D3,D1,A1,71,18,16,DPP,JPM,MVP,83,82,84,65,64,83,69,87,73,90,70,83,84,81,74,83,88,78,77,90,92,96,88,93,100,89.06,77.05,85.48,89.58,78.79,85,88,90,90,84,91,87,85,76
13,M,Jain,CE,D6,D2,A2,178,56,57,KDL,JJS,ZVB,71,81,90,54,90,79,79,82,80,89,69,66,76,72,80,68,73,67,84,93,95,96,92,100,100,92.42,96.72,95.24,91.3,95.38,85,67,93,88,84,71,95,92,72
14,F,Hindu,CE,D7,D6,A4,187,157,118,VVV,ASA,UMM,78,62,60,51,71,60,76,75,80,52,67,66,83,56,86,72,83,48,89,100,98,100,95,93,100,96.61,89.66,83.58,100,78.79,70,64,85,52,76,63,80,57,46
15,M,Hindu,CE,D2,D4,A4,43,118,135,KGB,ASA,PHA,66,68,80,58,80,68,82,49,94,97,41,66,91,50,83,63,78,54,91,84,84,82,86,77,100,83.58,80.88,81.97,85.71,80.7,53,51,96,69,82,79,87,64,42
16,M,Hindu,CE,D2,D4,A3,60,100,98,KGB,PVV,DVP,72,68,78,52,67,75,79,83,82,70,64,64,71,68,69,74,85,47,70,95,96,94,94,85,100,86.57,85.29,91.8,95.92,96.49,79,90,88,74,75,73,78,86,86
17,M,Hindu,CE,D1,D5,A6,10,137,187,MDP,PAT,DPB,63,76,84,53,88,62,71,45,75,45,37,50,91,54,81,56,78,51,90,95,91,94,92,77,100,84.13,81.97,84.38,88.89,86.44,58,42,83,57,86,70,100,80,56
18,M,Hindu,CE,D7,D12,A7,190,349,236,DPP,PVS,DKU,29,41,51,34,69,40,69,46,54,59,32,49,24,42,36,47,33,34,28,100,98,98,97,100,100,100,96.61,92.06,96.15,94.29,57,66,77,46,61,44,58,36,58
19,F,Hindu,CE,D6,D5,A3,169,127,84,SVC,PJD,DKU,77,70,84,41,83,70,70,58,82,80,65,68,85,72,82,70,63,44,89,100,100,100,100,100,100,96.83,98.36,98.44,100,94.92,84,87,91,79,89,81,71,81,63
20,M,Hindu,CE,D6,D12,A7,167,351,245,NSD,ZPB,SAS,33,42,79,31,85,35,65,53,80,73,28,37,75,32,67,38,51,32,63,77,77,86,71,46,100,93.1,74.58,68.25,88.46,81.43,40,33,80,24,46,34,39,36,49
